id,price,"date_stamp","journal_id",influence_id,"url","license"
8723,2145.00,"2016-08-11","1742-4933",NULL,NULL,""
8724,2145.00,"2016-08-11","1750-9378",NULL,NULL,""
8725,0.00,"2016-08-11","1423-0127",NULL,NULL,""
8726,2300.00,"2016-08-11","1476-9255",NULL,NULL,""
8727,2145.00,"2016-08-11","1477-5751",NULL,NULL,""
8728,2450.00,"2016-08-11","1866-1955",NULL,NULL,""
8729,2240.00,"2016-08-11","1743-0003",NULL,NULL,""
8730,2450.00,"2016-08-11","1742-2094",NULL,NULL,""
8731,2220.00,"2016-08-11","2055-0294",NULL,NULL,""
8732,1565.00,"2016-08-11","1880-6805",NULL,NULL,""
8733,2145.00,"2016-08-11","1479-5876",NULL,NULL,""
8734,2145.00,"2016-08-11","1678-9199",NULL,NULL,""
8735,2240.00,"2016-08-11","1475-2875",NULL,NULL,""
8736,2450.00,"2016-08-11","2049-2618",NULL,NULL,""
8737,2145.00,"2016-08-11","1759-8753",NULL,NULL,""
8738,1980.00,"2016-08-11","1756-6606",NULL,NULL,""
8739,2145.00,"2016-08-11","1476-4598",NULL,NULL,""
8740,2145.00,"2016-08-11","1755-8166",NULL,NULL,""
8741,2580.00,"2016-08-11","1750-1326",NULL,NULL,""
8742,2145.00,"2016-08-11","1749-8104",NULL,NULL,""
8743,2145.00,"2016-08-11","1756-3305",NULL,NULL,""
8744,2145.00,"2016-08-11","1743-8977",NULL,NULL,""
8745,2145.00,"2016-08-11","1748-717X",NULL,NULL,""
8746,2450.00,"2016-08-11","1742-4690",NULL,NULL,""
8747,2145.00,"2016-08-11","1742-4682",NULL,NULL,""
8748,2145.00,"2016-08-11","2047-9158",NULL,NULL,""
8749,2145.00,"2016-08-11","1743-422X",NULL,NULL,""
8750,2450.00,"2016-08-11","1754-6834",NULL,NULL,""
8751,2145.00,"2016-08-11","1472-6750",NULL,NULL,""
8752,2145.00,"2016-08-11","1477-3155",NULL,NULL,""
8753,2145.00,"2016-08-11","1475-2859",NULL,NULL,""
8754,2145.00,"2016-08-11","1472-6831",NULL,NULL,""
8755,2145.00,"2016-08-11","1472-6920",NULL,NULL,""
8756,2145.00,"2016-08-11","1475-925X",NULL,NULL,""
8757,2240.00,"2016-08-11","1754-1611",NULL,NULL,""
8758,2300.00,"2016-08-11","2047-2382",NULL,NULL,""
8759,2220.00,"2016-08-11","1476-069X",NULL,NULL,""
8760,1175.00,"2016-08-11","1755-2672",NULL,NULL,""
8761,2450.00,"2016-08-11","2048-7010",NULL,NULL,""
8762,2145.00,"2016-08-11","1748-7188",NULL,NULL,""
8763,2450.00,"2016-08-11","2050-3385",NULL,NULL,""
8764,0.00,"2016-08-11","2053-7166",NULL,NULL,""
8765,2145.00,"2016-08-11","1756-0381",NULL,NULL,""
8766,2240.00,"2016-08-11","0717-6287",NULL,NULL,""
8767,2145.00,"2016-08-11","1745-6150",NULL,NULL,""
8768,2145.00,"2016-08-11","1471-2091",NULL,NULL,""
8769,2145.00,"2016-08-11","1471-2105",NULL,NULL,""
8770,2785.00,"2016-08-11","1741-7007",NULL,NULL,""
8771,2145.00,"2016-08-11","1471-2121",NULL,NULL,""
8772,2145.00,"2016-08-11","1471-213X",NULL,NULL,""
8773,2145.00,"2016-08-11","1472-6785",NULL,NULL,""
8774,2145.00,"2016-08-11","1471-2148",NULL,NULL,""
8775,2145.00,"2016-08-11","1471-2156",NULL,NULL,""
8776,2145.00,"2016-08-11","1471-2164",NULL,NULL,""
8777,2145.00,"2016-08-11","1471-2180",NULL,NULL,""
8778,2145.00,"2016-08-11","1471-2199",NULL,NULL,""
8779,2145.00,"2016-08-11","1471-2229",NULL,NULL,""
8780,2145.00,"2016-08-11","1472-6807",NULL,NULL,""
8781,2145.00,"2016-08-11","1752-0509",NULL,NULL,""
8782,2145.00,"2016-08-11","2056-3132",NULL,NULL,""
8783,2145.00,"2016-08-11","2052-6687",NULL,NULL,""
8784,2145.00,"2016-08-11","2045-3701",NULL,NULL,""
8785,2450.00,"2016-08-11","1478-811X",NULL,NULL,""
8786,2300.00,"2016-08-11","1747-1028",NULL,NULL,""
8787,0.00,"2016-08-11","2045-9769",NULL,NULL,""
8788,2615.00,"2016-08-11","1689-1392",NULL,NULL,""
8789,2145.00,"2016-08-11","2053-8871",NULL,NULL,""
8790,2450.00,"2016-08-11","2046-2530",NULL,NULL,""
8791,2145.00,"2016-08-11","2053-7565",NULL,NULL,""
8792,2145.00,"2016-08-11","1559-0275",NULL,NULL,""
8793,2450.00,"2016-08-11","1756-8935",NULL,NULL,""
8794,2450.00,"2016-08-11","2041-9139",NULL,NULL,""
8795,0.00,"2016-08-11","2398-0060",NULL,NULL,""
8796,2145.00,"2016-08-11","2234-1757",NULL,NULL,""
8797,2365.00,"2016-08-11","1742-9994",NULL,NULL,""
8798,2145.00,"2016-08-11","2054-3085",NULL,NULL,""
8799,1800.00,"2016-08-11","1297-9686",NULL,NULL,""
8800,2975.00,"2016-08-11","1474-760X",NULL,NULL,""
8801,2050.00,"2016-08-11","2047-217X",NULL,NULL,""
8802,0.00,"2016-08-11","1438-3888",NULL,NULL,""
8803,2145.00,"2016-08-11","1601-5223",NULL,NULL,""
8804,0.00,"2016-08-11","2055-0391",NULL,NULL,""
8805,2365.00,"2016-08-11","2241-5793",NULL,NULL,""
8806,2145.00,"2016-08-11","1476-511X",NULL,NULL,""
8807,2145.00,"2016-08-11","2051-3933",NULL,NULL,""
8808,2240.00,"2016-08-11","1746-4811",NULL,NULL,""
8809,2145.00,"2016-08-11","1477-5956",NULL,NULL,""
8810,1760.00,"2016-08-11","0717-6317",NULL,NULL,""
8811,2450.00,"2016-08-11","2044-5040",NULL,NULL,""
8812,2145.00,"2016-08-11","1751-0473",NULL,NULL,""
8813,2145.00,"2016-08-11","1944-3277",NULL,NULL,""
8814,2175.00,"2016-08-11","1757-6512",NULL,NULL,""
8815,0.00,"2016-08-11","2056-306X",NULL,NULL,""
8816,1890.00,"2016-08-11","2055-7124",NULL,NULL,""
8817,2145.00,"2016-08-11","2058-6345",NULL,NULL,""
8818,2145.00,"2016-08-11","2041-1480",NULL,NULL,""
8819,2365.00,"2016-08-11","1751-0147",NULL,NULL,""
8820,2145.00,"2016-08-11","1940-0640",NULL,NULL,""
8821,2145.00,"2016-08-11","2059-0628",NULL,NULL,""
8822,2300.00,"2016-08-11","1742-6405",NULL,NULL,""
8823,2145.00,"2016-08-11","1710-1492",NULL,NULL,""
8824,2450.00,"2016-08-11","1744-859X",NULL,NULL,""
8825,1975.00,"2016-08-11","2052-4374",NULL,NULL,""
8826,0.00,"2016-08-11","1980-5578",NULL,NULL,""
8827,2145.00,"2016-08-11","2049-3258",NULL,NULL,""
8828,2740.00,"2016-08-11","1478-6362",NULL,NULL,""
8829,2145.00,"2016-08-11","1447-056X",NULL,NULL,""
8830,2145.00,"2016-08-11","2054-7064",NULL,NULL,""
8831,2145.00,"2016-08-11","2051-4190",NULL,NULL,""
8832,2145.00,"2016-08-11","1751-0759",NULL,NULL,""
8833,2145.00,"2016-08-11","1471-2253",NULL,NULL,""
8834,2145.00,"2016-08-11","1471-2261",NULL,NULL,""
8835,2145.00,"2016-08-11","1472-6890",NULL,NULL,""
8836,2145.00,"2016-08-11","1472-6882",NULL,NULL,""
8837,2145.00,"2016-08-11","1471-5945",NULL,NULL,""
8838,2145.00,"2016-08-11","1472-6815",NULL,NULL,""
8839,2145.00,"2016-08-11","1471-227X",NULL,NULL,""
8840,2145.00,"2016-08-11","1472-6823",NULL,NULL,""
8841,2145.00,"2016-08-11","1471-2296",NULL,NULL,""
8842,2145.00,"2016-08-11","1471-230X",NULL,NULL,""
8843,2145.00,"2016-08-11","1471-2318",NULL,NULL,""
8844,2145.00,"2016-08-11","1472-6963",NULL,NULL,""
8845,2145.00,"2016-08-11","2052-1839",NULL,NULL,""
8846,2145.00,"2016-08-11","1471-2334",NULL,NULL,""
8847,2145.00,"2016-08-11","1472-698X",NULL,NULL,""
8848,2145.00,"2016-08-11","1471-2342",NULL,NULL,""
8849,2145.00,"2016-08-11","1472-6947",NULL,NULL,""
8850,2145.00,"2016-08-11","1471-2288",NULL,NULL,""
8851,2785.00,"2016-08-11","1741-7015",NULL,NULL,""
8852,2145.00,"2016-08-11","1471-2474",NULL,NULL,""
8853,2145.00,"2016-08-11","1471-2369",NULL,NULL,""
8854,2145.00,"2016-08-11","1471-2377",NULL,NULL,""
8855,2145.00,"2016-08-11","1472-6955",NULL,NULL,""
8856,2145.00,"2016-08-11","2055-0928",NULL,NULL,""
8857,2145.00,"2016-08-11","2052-9538",NULL,NULL,""
8858,2145.00,"2016-08-11","1471-2415",NULL,NULL,""
8859,2145.00,"2016-08-11","1472-684X",NULL,NULL,""
8860,2145.00,"2016-08-11","1471-2431",NULL,NULL,""
8861,2145.00,"2016-08-11","1471-2393",NULL,NULL,""
8862,2145.00,"2016-08-11","1471-244X",NULL,NULL,""
8863,2145.00,"2016-08-11","1471-2458",NULL,NULL,""
8864,2145.00,"2016-08-11","1471-2466",NULL,NULL,""
8865,2145.00,"2016-08-11","2052-1847",NULL,NULL,""
8866,2145.00,"2016-08-11","1471-2482",NULL,NULL,""
8867,2145.00,"2016-08-11","1471-2490",NULL,NULL,""
8868,2145.00,"2016-08-11","1746-6148",NULL,NULL,""
8869,2145.00,"2016-08-11","1472-6874",NULL,NULL,""
8870,0.00,"2016-08-11","2051-6673",NULL,NULL,""
8871,0.00,"2016-08-11","2321-3876",NULL,NULL,""
8872,2145.00,"2016-08-11","1470-7330",NULL,NULL,""
8873,2145.00,"2016-08-11","2059-7347",NULL,NULL,""
8874,2075.00,"2016-08-11","2057-3804",NULL,NULL,""
8875,2410.00,"2016-08-11","1475-2840",NULL,NULL,""
8876,2145.00,"2016-08-11","1476-7120",NULL,NULL,""
8877,2145.00,"2016-08-11","1753-2000",NULL,NULL,""
8878,2145.00,"2016-08-11","1749-8546",NULL,NULL,""
8879,0.00,"2016-08-11","2057-4967",NULL,NULL,""
8880,2145.00,"2016-08-11","1476-7961",NULL,NULL,""
8881,2300.00,"2016-08-11","2045-7022",NULL,NULL,""
8882,2145.00,"2016-08-11","2055-8260",NULL,NULL,""
8883,0.00,"2016-08-11","2056-5909",NULL,NULL,""
8884,2145.00,"2016-08-11","1752-1505",NULL,NULL,""
8885,2145.00,"2016-08-11","2055-7426",NULL,NULL,""
8886,2145.00,"2016-08-11","2054-9040",NULL,NULL,""
8887,2145.00,"2016-08-11","1478-7547",NULL,NULL,""
8888,2740.00,"2016-08-11","1364-8535",NULL,NULL,""
8889,2220.00,"2016-08-11","1758-5996",NULL,NULL,""
8890,2145.00,"2016-08-11","2397-7523",NULL,NULL,""
8891,2145.00,"2016-08-11","1746-1596",NULL,NULL,""
8892,2145.00,"2016-08-11","2054-314X",NULL,NULL,""
8893,2145.00,"2016-08-11","1742-7622",NULL,NULL,""
8894,2450.00,"2016-08-11","2047-783X",NULL,NULL,""
8895,2145.00,"2016-08-11","1861-6909",NULL,NULL,""
8896,2580.00,"2016-08-11","2162-3619",NULL,NULL,""
8897,0.00,"2016-08-11","2326-0254",NULL,NULL,""
8898,2145.00,"2016-08-11","2054-7099",NULL,NULL,""
8899,2450.00,"2016-08-11","1755-1536",NULL,NULL,""
8900,0.00,"2016-08-11","2397-0642",NULL,NULL,""
8901,2145.00,"2016-08-11","1744-8603",NULL,NULL,""
8902,2410.00,"2016-08-11","1757-4749",NULL,NULL,""
8903,2145.00,"2016-08-11","2053-6844",NULL,NULL,""
8904,2450.00,"2016-08-11","1477-7517",NULL,NULL,""
8905,2145.00,"2016-08-11","1746-160X",NULL,NULL,""
8906,2145.00,"2016-08-11","1477-7525",NULL,NULL,""
8907,2145.00,"2016-08-11","2047-2501",NULL,NULL,""
8908,2300.00,"2016-08-11","1478-4505",NULL,NULL,""
8909,2145.00,"2016-08-11","2059-5166",NULL,NULL,""
8910,2450.00,"2016-08-11","1478-4491",NULL,NULL,""
8911,2365.00,"2016-08-11","1748-5908",NULL,NULL,""
8912,2145.00,"2016-08-11","2049-9957",NULL,NULL,""
8913,1940.00,"2016-08-11","1746-4358",NULL,NULL,""
8914,2220.00,"2016-08-11","1475-9276",NULL,NULL,""
8915,2580.00,"2016-08-11","1479-5868",NULL,NULL,""
8916,2145.00,"2016-08-11","1476-072X",NULL,NULL,""
8917,2145.00,"2016-08-11","1752-4458",NULL,NULL,""
8918,2145.00,"2016-08-11","1687-9856",NULL,NULL,""
8919,0.00,"2016-08-11","2056-9920",NULL,NULL,""
8920,2145.00,"2016-08-11","2046-0481",NULL,NULL,""
8921,0.00,"2016-08-11","2045-4015",NULL,NULL,""
8922,2145.00,"2016-08-11","1824-7288",NULL,NULL,""
8923,2410.00,"2016-08-11","2051-1426",NULL,NULL,""
8924,2175.00,"2016-08-11","1749-8090",NULL,NULL,""
8925,2145.00,"2016-08-11","1532-429X",NULL,NULL,""
8926,2145.00,"2016-08-11","2054-7072",NULL,NULL,""
8927,2145.00,"2016-08-11","2053-2393",NULL,NULL,""
8928,2145.00,"2016-08-11","2056-7251",NULL,NULL,""
8929,1940.00,"2016-08-11","1746-4269",NULL,NULL,""
8930,2220.00,"2016-08-11","1756-9966",NULL,NULL,""
8931,2145.00,"2016-08-11","1757-1146",NULL,NULL,""
8932,2145.00,"2016-08-11","2072-1315",NULL,NULL,""
8933,2580.00,"2016-08-11","1756-8722",NULL,NULL,""
8934,0.00,"2016-08-11","2052-0492",NULL,NULL,""
8935,1120.00,"2016-08-11","1752-1947",NULL,NULL,""
8936,2145.00,"2016-08-11","2049-9256",NULL,NULL,""
8937,2260.00,"2016-08-11","1745-6673",NULL,NULL,""
8938,2450.00,"2016-08-11","1749-799X",NULL,NULL,""
8939,2145.00,"2016-08-11","1916-0216",NULL,NULL,""
8940,2145.00,"2016-08-11","1757-2215",NULL,NULL,""
8941,2145.00,"2016-08-11","1550-2783",NULL,NULL,""
8942,0.00,"2016-08-11","2050-5736",NULL,NULL,""
8943,0.00,"2016-08-11","2058-511X",NULL,NULL,""
8944,2145.00,"2016-08-11","2054-958X",NULL,NULL,""
8945,0.00,"2016-08-11","2054-9369",NULL,NULL,""
8946,2145.00,"2016-08-11","2040-2392",NULL,NULL,""
8947,2145.00,"2016-08-11","2049-6958",NULL,NULL,""
8948,2145.00,"2016-08-11","2056-6115",NULL,NULL,""
8949,2145.00,"2016-08-11","2055-4788",NULL,NULL,""
8950,2145.00,"2016-08-11","2055-5792",NULL,NULL,""
8951,0.00,"2016-08-11","2316-7874",NULL,NULL,""
8952,2240.00,"2016-08-11","1743-7075",NULL,NULL,""
8953,2300.00,"2016-08-11","1475-2891",NULL,NULL,""
8954,2365.00,"2016-08-11","1750-1172",NULL,NULL,""
8955,2145.00,"2016-08-11","1754-9493",NULL,NULL,""
8956,2145.00,"2016-08-11","1546-0096",NULL,NULL,""
8957,2450.00,"2016-08-11","2047-0525",NULL,NULL,""
8958,2450.00,"2016-08-11","2055-5784",NULL,NULL,""
8959,2145.00,"2016-08-11","2200-6133",NULL,NULL,""
8960,2145.00,"2016-08-11","1478-7954",NULL,NULL,""
8961,2145.00,"2016-08-11","2055-5660",NULL,NULL,""
8962,2145.00,"2016-08-11","2107-6952",NULL,NULL,""
8963,0.00,"2016-08-11","2059-1381",NULL,NULL,""
8964,2145.00,"2016-08-11","1477-7827",NULL,NULL,""
8965,2145.00,"2016-08-11","1742-4755",NULL,NULL,""
8966,2450.00,"2016-08-11","2056-7529",NULL,NULL,""
8967,2525.00,"2016-08-11","1465-993X",NULL,NULL,""
8968,2145.00,"2016-08-11","2056-5917",NULL,NULL,""
8969,2325.00,"2016-08-11","1757-7241",NULL,NULL,""
8970,2145.00,"2016-08-11","2397-1789",NULL,NULL,""
8971,2145.00,"2016-08-11","2398-2683",NULL,NULL,""
8972,1940.00,"2016-08-11","1747-597X",NULL,NULL,""
8973,2450.00,"2016-08-11","2046-4053",NULL,NULL,""
8974,2145.00,"2016-08-11","1477-9560",NULL,NULL,""
8975,2145.00,"2016-08-11","1756-6614",NULL,NULL,""
8976,2145.00,"2016-08-11","1617-9625",NULL,NULL,""
8977,2145.00,"2016-08-11","2396-832X",NULL,NULL,""
8978,2450.00,"2016-08-11","2047-1440",NULL,NULL,""
8979,2145.00,"2016-08-11","1745-6215",NULL,NULL,""
8980,2145.00,"2016-08-11","2055-0936",NULL,NULL,""
8981,1105.00,"2016-08-11","1349-4147",NULL,NULL,""
8982,2145.00,"2016-08-11","2045-824X",NULL,NULL,""
8983,1800.00,"2016-08-11","1297-9716",NULL,NULL,""
8984,2145.00,"2016-08-11","2054-2690",NULL,NULL,""
8985,2300.00,"2016-08-11","1939-4551",NULL,NULL,""
8986,2145.00,"2016-08-11","1749-7922",NULL,NULL,""
8987,2580.00,"2016-08-11","1477-7819",NULL,NULL,""
8988,2240.00,"2016-08-11","2052-3211",NULL,NULL,""
8989,2145.00,"2016-08-11","1472-6939",NULL,NULL,""
8990,2145.00,"2016-08-11","1747-5341",NULL,NULL,""
8991,2145.00,"2016-08-11","2058-8615",NULL,NULL,""
8992,2145.00,"2016-08-11","2046-1682",NULL,NULL,""
8993,2145.00,"2016-08-11","2050-7283",NULL,NULL,""
8994,2145.00,"2016-08-11","2050-2974",NULL,NULL,""
8995,2500.00,"2016-08-11","0741-8329",NULL,NULL,""
8996,1000.00,"2016-08-11","2215-0390",NULL,NULL,""
8997,1750.00,"2016-08-11","1075-9964",NULL,NULL,""
8998,2500.00,"2016-08-11","2213-3054",NULL,NULL,""
8999,2600.00,"2016-08-11","0195-6663",NULL,NULL,""
9000,3600.00,"2016-08-11","0044-8486",NULL,NULL,""
9001,3000.00,"2016-08-11","0021-9150",NULL,NULL,""
9002,0.00,"2016-08-11","0187-6236",NULL,NULL,""
9003,3100.00,"2016-08-11","0005-1098",NULL,NULL,""
9004,2200.00,"2016-08-11","0300-9084",NULL,NULL,""
9005,2600.00,"2016-08-11","1567-5394",NULL,NULL,""
9006,3000.00,"2016-08-11","1045-1056",NULL,NULL,""
9007,3500.00,"2016-08-11","0142-9612",NULL,NULL,""
9008,1700.00,"2016-08-11","2405-8866",NULL,NULL,""
9009,1800.00,"2016-08-11","0303-2647",NULL,NULL,""
9010,1000.00,"2016-08-11","2352-5738",NULL,NULL,""
9011,2150.00,"2016-08-11","8756-3282",NULL,NULL,""
9012,3000.00,"2016-08-11","1538-4721",NULL,NULL,""
9013,3000.00,"2016-08-11","0305-4179",NULL,NULL,""
9014,2500.00,"2016-08-11","0364-5916",NULL,NULL,""
9015,3000.00,"2016-08-11","1499-2671",NULL,NULL,""
9016,3500.00,"2016-08-11","0008-6223",NULL,NULL,""
9017,3000.00,"2016-08-11","1889-898X",NULL,NULL,""
9018,2500.00,"2016-08-11","0341-8162",NULL,NULL,""
9019,5000.00,"2016-08-11","0092-8674",NULL,NULL,""
9020,3000.00,"2016-08-11","0045-6535",NULL,NULL,""
9021,3000.00,"2016-08-11","0012-3692",NULL,NULL,""
9022,1100.00,"2016-08-11","0264-2751",NULL,NULL,""
9023,2150.00,"2016-08-11","0010-0277",NULL,NULL,""
9024,1700.00,"2016-08-11","1322-7696",NULL,NULL,""
9025,3000.00,"2016-08-11","0010-7824",NULL,NULL,""
9026,2600.00,"2016-08-11","0010-9452",NULL,NULL,""
9027,2200.00,"2016-08-11","0011-2240",NULL,NULL,""
9028,2200.00,"2016-08-11","0011-2275",NULL,NULL,""
9029,3300.00,"2016-08-11","1043-4666",NULL,NULL,""
9030,3000.00,"2016-08-11","1465-3249",NULL,NULL,""
9031,1500.00,"2016-08-11","1125-7865",NULL,NULL,""
9032,3600.00,"2016-08-11","0011-9164",NULL,NULL,""
9033,3000.00,"2016-08-11","0301-4681",NULL,NULL,""
9034,2000.00,"2016-08-11","0011-5029",NULL,NULL,""
9035,2400.00,"2016-08-11","0141-9382",NULL,NULL,""
9036,3000.00,"2016-08-11","2352-3964",NULL,NULL,""
9037,1000.00,"2016-08-11","0717-3458",NULL,NULL,""
9038,750.00,"2016-08-11","0160-9327",NULL,NULL,""
9039,2950.00,"2016-08-11","0360-5442",NULL,NULL,""
9040,1400.00,"2016-08-11","2405-6502",NULL,NULL,""
9041,1800.00,"2016-08-11","1755-4365",NULL,NULL,""
9042,1700.00,"2016-08-11","2212-8220",NULL,NULL,""
9043,3000.00,"2016-08-11","0211-5638",NULL,NULL,""
9044,1800.00,"2016-08-11","0367-326X",NULL,NULL,""
9045,1500.00,"2016-08-11","0367-2530",NULL,NULL,""
9046,3600.00,"2016-08-11","0016-2361",NULL,NULL,""
9047,1100.00,"2016-08-11","0016-3287",NULL,NULL,""
9048,3000.00,"2016-08-11","0016-5085",NULL,NULL,""
9049,3300.00,"2016-08-11","0378-1119",NULL,NULL,""
9050,2150.00,"2016-08-11","0888-7543",NULL,NULL,""
9051,3000.00,"2016-08-11","0016-6995",NULL,NULL,""
9052,3000.00,"2016-08-11","0016-7061",NULL,NULL,""
9053,1800.00,"2016-08-11","0016-7185",NULL,NULL,""
9054,3300.00,"2016-08-11","0169-555X",NULL,NULL,""
9055,2200.00,"2016-08-11","2214-2428",NULL,NULL,""
9056,2650.00,"2016-08-11","0375-6505",NULL,NULL,""
9057,3000.00,"2016-08-11","2213-0764",NULL,NULL,""
9058,1250.00,"2016-08-11","2405-8440",NULL,NULL,""
9059,2500.00,"2016-08-11","1475-4916",NULL,NULL,""
9060,3000.00,"2016-08-11","1365-182X",NULL,NULL,""
9061,3300.00,"2016-08-11","0304-386X",NULL,NULL,""
9062,2750.00,"2016-08-11","0019-1035",NULL,NULL,""
9063,500.00,"2016-08-11","2214-2509",NULL,NULL,""
9064,5000.00,"2016-08-11","1074-7613",NULL,NULL,""
9065,2050.00,"2016-08-11","0171-2985",NULL,NULL,""
9066,2500.00,"2016-08-11","0020-1383",NULL,NULL,""
9067,2150.00,"2016-08-11","0160-2896",NULL,NULL,""
9068,3000.00,"2016-08-11","0242-3960",NULL,NULL,""
9069,1000.00,"2016-08-11","0966-9795",NULL,NULL,""
9070,0.00,"2016-08-11","0185-1667",NULL,NULL,""
9071,3000.00,"2016-08-11","1959-0318",NULL,NULL,""
9072,3000.00,"2016-08-11","1684-1182",NULL,NULL,""
9073,3000.00,"2016-08-11","1212-4117",NULL,NULL,""
9074,3000.00,"2016-08-11","1166-3413",NULL,NULL,""
9075,3000.00,"2016-08-11","0003-5521",NULL,NULL,""
9076,1500.00,"2016-08-11","0075-9511",NULL,NULL,""
9077,1800.00,"2016-08-11","0024-3841",NULL,NULL,""
9078,3000.00,"2016-08-11","0024-4937",NULL,NULL,""
9079,3000.00,"2016-08-11","0212-6796",NULL,NULL,""
9080,3000.00,"2016-08-11","0378-5122",NULL,NULL,""
9081,2600.00,"2016-08-11","0263-2241",NULL,NULL,""
9082,2400.00,"2016-08-11","0957-4158",NULL,NULL,""
9083,3000.00,"2016-08-11","1357-3039",NULL,NULL,""
9084,2500.00,"2016-08-11","0026-0495",NULL,NULL,""
9085,3300.00,"2016-08-11","1046-2023",NULL,NULL,""
9086,520.00,"2016-08-11","2215-0161",NULL,NULL,""
9087,2200.00,"2016-08-11","0968-4328",NULL,NULL,""
9088,3000.00,"2016-08-11","0266-6138",NULL,NULL,""
9089,2200.00,"2016-08-11","1567-7249",NULL,NULL,""
9090,3000.00,"2016-08-11","1286-0115",NULL,NULL,""
9091,3000.00,"2016-08-11","1340-3540",NULL,NULL,""
9092,1500.00,"2016-08-11","2452-0748",NULL,NULL,""
9093,2200.00,"2016-08-11","1476-5586",NULL,NULL,""
9094,3000.00,"2016-08-11","0028-3770",NULL,NULL,""
9095,2400.00,"2016-08-11","0925-2312",NULL,NULL,""
9096,2000.00,"2016-08-11","2214-7845",NULL,NULL,""
9097,2600.00,"2016-08-11","1053-8119",NULL,NULL,""
9098,5000.00,"2016-08-11","0896-6273",NULL,NULL,""
9099,1700.00,"2016-08-11","0143-4179",NULL,NULL,""
9100,2600.00,"2016-08-11","0028-3908",NULL,NULL,""
9101,1700.00,"2016-08-11","1439-4847",NULL,NULL,""
9102,2150.00,"2016-08-11","0028-3932",NULL,NULL,""
9103,2200.00,"2016-08-11","0306-4522",NULL,NULL,""
9104,3300.00,"2016-08-11","0161-813X",NULL,NULL,""
9105,2500.00,"2016-08-11","0899-9007",NULL,NULL,""
9106,0.00,"2016-08-11","0078-3234",NULL,NULL,""
9107,1800.00,"2016-08-11","0305-0483",NULL,NULL,""
9108,2000.00,"2016-08-11","2352-9520",NULL,NULL,""
9109,3000.00,"2016-08-11","0161-6420",NULL,NULL,""
9110,1100.00,"2016-08-11","0030-4387",NULL,NULL,""
9111,3000.00,"2016-08-11","0990-1310",NULL,NULL,""
9112,3000.00,"2016-08-11","1871-174X",NULL,NULL,""
9113,3000.00,"2016-08-11","1424-3903",NULL,NULL,""
9114,3000.00,"2016-08-11","1674-2001",NULL,NULL,""
9115,1500.00,"2016-08-11","2214-6636",NULL,NULL,""
9116,2500.00,"2016-08-11","0031-3025",NULL,NULL,""
9117,3000.00,"2016-08-11","0928-4680",NULL,NULL,""
9118,3000.00,"2016-08-11","1002-0160",NULL,NULL,""
9119,3000.00,"2016-08-11","0196-9781",NULL,NULL,""
9120,3000.00,"2016-08-11","1734-1140",NULL,NULL,""
9121,3000.00,"2016-08-11","2213-4344",NULL,NULL,""
9122,1500.00,"2016-08-11","2213-5979",NULL,NULL,""
9123,2500.00,"2016-08-11","0031-9406",NULL,NULL,""
9124,3300.00,"2016-08-11","0031-9422",NULL,NULL,""
9125,2500.00,"2016-08-11","0944-7113",NULL,NULL,""
9126,3300.00,"2016-08-11","0143-4004",NULL,NULL,""
