id,article_influence,est_article_influence,"date_stamp","journal_id",ai_percentile,cost_effectiveness,ef_percentile,eigenfactor,efn
176,0.2053100,NULL,"2006-12-31","1460-7425",NULL,NULL,NULL,NULL,NULL
177,1.2364000,NULL,"2006-12-31","0160-2896",NULL,NULL,NULL,NULL,NULL
178,0.5736100,NULL,"2006-12-31","1368-1613",NULL,NULL,NULL,NULL,NULL
179,0.2975600,NULL,"2006-12-31","0017-8322",NULL,NULL,NULL,NULL,NULL
180,0.2932700,NULL,"2006-12-31","0017-808X",NULL,NULL,NULL,NULL,NULL
181,0.8194900,NULL,"2006-12-31","0016-8092",NULL,NULL,NULL,NULL,NULL
182,0.4717400,NULL,"2006-12-31","0016-8076",NULL,NULL,NULL,NULL,NULL
183,0.7788700,NULL,"2006-12-31","0016-7185",NULL,NULL,NULL,NULL,NULL
184,0.1220300,NULL,"2006-12-31","0016-3287",NULL,NULL,NULL,NULL,NULL
185,0.3000400,NULL,"2006-12-31","0015-704X",NULL,NULL,NULL,NULL,NULL
186,0.1415600,NULL,"2006-12-31","0015-1920",NULL,NULL,NULL,NULL,NULL
187,0.0567430,NULL,"2006-12-31","0213-6163",NULL,NULL,NULL,NULL,NULL
188,0.1181400,NULL,"2006-12-31","1436-4522",NULL,NULL,NULL,NULL,NULL
189,0.1172200,NULL,"2006-12-31","0046-1121",NULL,NULL,NULL,NULL,NULL
190,2.5248000,NULL,"2006-12-31","0010-0277",NULL,NULL,NULL,NULL,NULL
191,0.2979100,NULL,"2006-12-31","0264-2751",NULL,NULL,NULL,NULL,NULL
192,0.1001400,NULL,"2006-12-31","1538-6279",NULL,NULL,NULL,NULL,NULL
193,0.2128800,NULL,"2006-12-31","0023-9356",NULL,NULL,NULL,NULL,NULL
194,0.2405200,NULL,"2006-12-31","0003-5521",NULL,NULL,NULL,NULL,NULL
195,0.7405300,NULL,"2006-12-31","1535-7414",NULL,NULL,NULL,NULL,NULL
196,0.3994600,NULL,"2006-12-31","1280-9551",NULL,NULL,NULL,NULL,NULL
197,0.3767800,NULL,"2006-12-31","0944-2006",NULL,NULL,NULL,NULL,NULL
198,0.2520000,NULL,"2006-12-31","1021-5506",NULL,NULL,NULL,NULL,NULL
199,0.7275200,NULL,"2006-12-31","0043-1648",NULL,NULL,NULL,NULL,NULL
200,1.2503000,NULL,"2006-12-31","0042-6822",NULL,NULL,NULL,NULL,NULL
201,0.1110100,NULL,"2006-12-31","0375-8427",NULL,NULL,NULL,NULL,NULL
202,0.3503600,NULL,"2006-12-31","0042-207X",NULL,NULL,NULL,NULL,NULL
203,0.8501000,NULL,"2006-12-31","0264-410X",NULL,NULL,NULL,NULL,NULL
204,0.8467500,NULL,"2006-12-31","0090-4295",NULL,NULL,NULL,NULL,NULL
205,0.1002700,NULL,"2006-12-31","1433-0563",NULL,NULL,NULL,NULL,NULL
206,0.5451800,NULL,"2006-12-31","0041-624X",NULL,NULL,NULL,NULL,NULL
207,0.9140500,NULL,"2006-12-31","0304-3991",NULL,NULL,NULL,NULL,NULL
208,0.8966900,NULL,"2006-12-31","1472-9792",NULL,NULL,NULL,NULL,NULL
209,0.0000000,NULL,"2006-12-31","1745-6215",NULL,NULL,NULL,NULL,NULL
210,0.6083800,NULL,"2006-12-31","0041-0101",NULL,NULL,NULL,NULL,NULL
211,0.7346400,NULL,"2006-12-31","0300-483X",NULL,NULL,NULL,NULL,NULL
212,0.4304600,NULL,"2006-12-31","0093-691X",NULL,NULL,NULL,NULL,NULL
213,0.1407100,NULL,"2006-12-31","0730-2347",NULL,NULL,NULL,NULL,NULL
214,0.8550300,NULL,"2006-12-31","0040-4020",NULL,NULL,NULL,NULL,NULL
215,1.1020000,NULL,"2006-12-31","0040-1951",NULL,NULL,NULL,NULL,NULL
216,0.2080300,NULL,"2006-12-31","0166-4972",NULL,NULL,NULL,NULL,NULL
217,0.7966900,NULL,"2006-12-31","0039-9140",NULL,NULL,NULL,NULL,NULL
218,1.0304000,NULL,"2006-12-31","0039-6060",NULL,NULL,NULL,NULL,NULL
219,0.1791900,NULL,"2006-12-31","1279-8517",NULL,NULL,NULL,NULL,NULL
220,3.1530000,NULL,"2006-12-31","0969-2126",NULL,NULL,NULL,NULL,NULL
221,0.6623700,NULL,"2006-12-31","0039-128X",NULL,NULL,NULL,NULL,NULL
222,0.5310300,NULL,"2006-12-31","0037-5330",NULL,NULL,NULL,NULL,NULL
223,0.4534400,NULL,"2006-12-31","0163-5808",NULL,NULL,NULL,NULL,NULL
224,0.4059900,NULL,"2006-12-31","1424-8220",NULL,NULL,NULL,NULL,NULL
225,0.1000300,NULL,"2006-12-31","0350-820X",NULL,NULL,NULL,NULL,NULL
226,1.3464000,NULL,"2006-12-31","0185-1101",NULL,NULL,NULL,NULL,NULL
227,0.0569750,NULL,"2006-12-31","0034-7744",NULL,NULL,NULL,NULL,NULL
228,0.6017400,NULL,"2006-12-31","0300-9572",NULL,NULL,NULL,NULL,NULL
229,0.9021200,NULL,"2006-12-31","1465-9921",NULL,NULL,NULL,NULL,NULL
230,0.1650200,NULL,"2006-12-31","0217-2445",NULL,NULL,NULL,NULL,NULL
231,0.7229900,NULL,"2006-12-31","0033-3182",NULL,NULL,NULL,NULL,NULL
232,1.3633000,NULL,"2006-12-31","0306-4530",NULL,NULL,NULL,NULL,NULL
233,1.0460000,NULL,"2006-12-31","1434-4610",NULL,NULL,NULL,NULL,NULL
234,0.9910800,NULL,"2006-12-31","0032-3861",NULL,NULL,NULL,NULL,NULL
235,0.4894300,NULL,"2006-12-31","0277-5387",NULL,NULL,NULL,NULL,NULL
236,0.6084100,NULL,"2006-12-31","0147-619X",NULL,NULL,NULL,NULL,NULL
237,0.8570400,NULL,"2006-12-31","0143-4004",NULL,NULL,NULL,NULL,NULL
238,0.3880500,NULL,"2006-12-31","0944-7113",NULL,NULL,NULL,NULL,NULL
239,0.8383600,NULL,"2006-12-31","0031-9422",NULL,NULL,NULL,NULL,NULL
240,0.6188800,NULL,"2006-12-31","1098-4402",NULL,NULL,NULL,NULL,NULL
241,0.0613540,NULL,"2006-12-31","1734-1140",NULL,NULL,NULL,NULL,NULL
242,0.6563000,NULL,"2006-12-31","0196-9781",NULL,NULL,NULL,NULL,NULL
243,0.2906800,NULL,"2006-12-31","0031-3025",NULL,NULL,NULL,NULL,NULL
244,0.5268300,NULL,"2006-12-31","1424-3903",NULL,NULL,NULL,NULL,NULL
245,0.0213360,NULL,"2006-12-31","0556-3321",NULL,NULL,NULL,NULL,NULL
246,0.2439100,NULL,"2006-12-31","0386-2194",NULL,NULL,NULL,NULL,NULL
247,0.1858400,NULL,"2006-12-31","0253-4142",NULL,NULL,NULL,NULL,NULL
248,0.6705200,NULL,"2006-12-31","0030-6126",NULL,NULL,NULL,NULL,NULL
249,1.5716000,NULL,"2006-12-31","1094-4087",NULL,NULL,NULL,NULL,NULL
250,1.5664000,NULL,"2006-12-31","0161-6420",NULL,NULL,NULL,NULL,NULL
251,0.5736800,NULL,"2006-12-31","0305-0483",NULL,NULL,NULL,NULL,NULL
252,0.1036900,NULL,"2006-12-31","1294-4475",NULL,NULL,NULL,NULL,NULL
253,0.3386700,NULL,"2006-12-31","0078-3234",NULL,NULL,NULL,NULL,NULL
254,0.5796200,NULL,"2006-12-31","0899-9007",NULL,NULL,NULL,NULL,NULL
255,1.8153000,NULL,"2006-12-31","1367-2630",NULL,NULL,NULL,NULL,NULL
256,0.6683800,NULL,"2006-12-31","0161-813X",NULL,NULL,NULL,NULL,NULL
257,1.1710000,NULL,"2006-12-31","0306-4522",NULL,NULL,NULL,NULL,NULL
258,1.7032000,NULL,"2006-12-31","0028-3932",NULL,NULL,NULL,NULL,NULL
259,1.0943000,NULL,"2006-12-31","0028-3908",NULL,NULL,NULL,NULL,NULL
260,0.5848900,NULL,"2006-12-31","0143-4179",NULL,NULL,NULL,NULL,NULL
261,8.0620000,NULL,"2006-12-31","0896-6273",NULL,NULL,NULL,NULL,NULL
262,0.1168500,NULL,"2006-12-31","0028-3886",NULL,NULL,NULL,NULL,NULL
263,2.4376000,NULL,"2006-12-31","1053-8119",NULL,NULL,NULL,NULL,NULL
264,0.2984700,NULL,"2006-12-31","0925-2312",NULL,NULL,NULL,NULL,NULL
265,0.1222800,NULL,"2006-12-31","0028-3770",NULL,NULL,NULL,NULL,NULL
266,0.2651500,NULL,"2006-12-31","1420-3049",NULL,NULL,NULL,NULL,NULL
267,0.7395200,NULL,"2006-12-31","1090-0535",NULL,NULL,NULL,NULL,NULL
268,3.1285000,NULL,"2006-12-31","1744-4292",NULL,NULL,NULL,NULL,NULL
269,0.3981700,NULL,"2006-12-31","1567-7249",NULL,NULL,NULL,NULL,NULL
270,0.2849100,NULL,"2006-12-31","0266-6138",NULL,NULL,NULL,NULL,NULL
271,0.4243300,NULL,"2006-12-31","0968-4328",NULL,NULL,NULL,NULL,NULL
272,2.6614000,NULL,"2006-12-31","1046-2023",NULL,NULL,NULL,NULL,NULL
273,0.7153300,NULL,"2006-12-31","0026-0495",NULL,NULL,NULL,NULL,NULL
274,0.2504100,NULL,"2006-12-31","0025-7273",NULL,NULL,NULL,NULL,NULL
275,0.3596400,NULL,"2006-12-31","0957-4158",NULL,NULL,NULL,NULL,NULL
276,0.2590000,NULL,"2006-12-31","0263-2241",NULL,NULL,NULL,NULL,NULL
277,0.4888000,NULL,"2006-12-31","0378-5122",NULL,NULL,NULL,NULL,NULL
278,0.9103400,NULL,"2006-12-31","1475-2875",NULL,NULL,NULL,NULL,NULL
279,1.2685000,NULL,"2006-12-31","0024-4937",NULL,NULL,NULL,NULL,NULL
280,0.2124700,NULL,"2006-12-31","0075-9511",NULL,NULL,NULL,NULL,NULL
281,0.1446800,NULL,"2006-12-31","0023-5954",NULL,NULL,NULL,NULL,NULL
282,2.0749000,NULL,"2006-12-31","1534-7362",NULL,NULL,NULL,NULL,NULL
283,0.1345600,NULL,"2006-12-31","1303-2968",NULL,NULL,NULL,NULL,NULL
284,0.1158000,NULL,"2006-12-31","1443-458X",NULL,NULL,NULL,NULL,NULL
285,0.5001000,NULL,"2006-12-31","1044-677X",NULL,NULL,NULL,NULL,NULL
286,0.3818900,NULL,"2006-12-31","0748-7711",NULL,NULL,NULL,NULL,NULL
287,0.6144700,NULL,"2006-12-31","0163-3864",NULL,NULL,NULL,NULL,NULL
288,0.6329200,NULL,"2006-12-31","0026-1165",NULL,NULL,NULL,NULL,NULL
289,1.1448000,NULL,"2006-12-31","1438-8871",NULL,NULL,NULL,NULL,NULL
290,0.6674500,NULL,"2006-12-31","1536-2442",NULL,NULL,NULL,NULL,NULL
291,0.0454140,NULL,"2006-12-31","1000-324X",NULL,NULL,NULL,NULL,NULL
292,0.0146360,NULL,"2006-12-31","1001-9014",NULL,NULL,NULL,NULL,NULL
293,0.1549500,NULL,"2006-12-31","0022-1333",NULL,NULL,NULL,NULL,NULL
294,0.2162200,NULL,"2006-12-31","0253-4134",NULL,NULL,NULL,NULL,NULL
295,0.3370700,NULL,"2006-12-31","1090-6924",NULL,NULL,NULL,NULL,NULL
296,0.5138900,NULL,"2006-12-31","1062-6050",NULL,NULL,NULL,NULL,NULL
297,0.0665600,NULL,"2006-12-31","1612-9830",NULL,NULL,NULL,NULL,NULL
298,0.0769830,NULL,"2006-12-31","1565-1088",NULL,NULL,NULL,NULL,NULL
299,0.8341300,NULL,"2006-12-31","0966-9795",NULL,NULL,NULL,NULL,NULL
300,0.6745300,NULL,"2006-12-31","1422-0067",NULL,NULL,NULL,NULL,NULL
301,0.3425000,NULL,"2006-12-31","0020-1383",NULL,NULL,NULL,NULL,NULL
302,0.2133000,NULL,"2006-12-31","0971-5916",NULL,NULL,NULL,NULL,NULL
303,0.6173500,NULL,"2006-12-31","0171-2985",NULL,NULL,NULL,NULL,NULL
304,9.0635000,NULL,"2006-12-31","1074-7613",NULL,NULL,NULL,NULL,NULL
305,0.0257860,NULL,"2006-12-31","0377-2063",NULL,NULL,NULL,NULL,NULL
306,1.9687000,NULL,"2006-12-31","0019-1035",NULL,NULL,NULL,NULL,NULL
307,0.4988500,NULL,"2006-12-31","0304-386X",NULL,NULL,NULL,NULL,NULL
308,0.5894100,NULL,"2006-12-31","1434-7636",NULL,NULL,NULL,NULL,NULL
309,0.2953500,NULL,"2006-12-31","0375-6505",NULL,NULL,NULL,NULL,NULL
310,0.9000100,NULL,"2006-12-31","0169-555X",NULL,NULL,NULL,NULL,NULL
311,0.2576100,NULL,"2006-12-31","1641-7291",NULL,NULL,NULL,NULL,NULL
312,0.8179000,NULL,"2006-12-31","1280-9659",NULL,NULL,NULL,NULL,NULL
313,1.0035000,NULL,"2006-12-31","0016-7061",NULL,NULL,NULL,NULL,NULL
314,0.8519100,NULL,"2006-12-31","1467-4866",NULL,NULL,NULL,NULL,NULL
315,0.4369100,NULL,"2006-12-31","0016-6995",NULL,NULL,NULL,NULL,NULL
316,1.5381000,NULL,"2006-12-31","0888-7543",NULL,NULL,NULL,NULL,NULL
317,6.8309000,NULL,"2006-12-31","1474-760X",NULL,NULL,NULL,NULL,NULL
318,1.1874000,NULL,"2006-12-31","0378-1119",NULL,NULL,NULL,NULL,NULL
319,3.8114000,NULL,"2006-12-31","0016-5085",NULL,NULL,NULL,NULL,NULL
320,0.6167400,NULL,"2006-12-31","0016-2361",NULL,NULL,NULL,NULL,NULL
321,0.1802300,NULL,"2006-12-31","1330-9862",NULL,NULL,NULL,NULL,NULL
322,0.3252000,NULL,"2006-12-31","0367-2530",NULL,NULL,NULL,NULL,NULL
323,0.3209300,NULL,"2006-12-31","0367-326X",NULL,NULL,NULL,NULL,NULL
324,0.7488500,NULL,"2006-12-31","0090-0656",NULL,NULL,NULL,NULL,NULL
325,0.0999720,NULL,"2006-12-31","1230-3666",NULL,NULL,NULL,NULL,NULL
326,0.4023500,NULL,"2006-12-31","0742-3225",NULL,NULL,NULL,NULL,NULL
327,0.0857950,NULL,"2006-12-31","1341-1357",NULL,NULL,NULL,NULL,NULL
328,0.3318100,NULL,"2006-12-31","1225-6463",NULL,NULL,NULL,NULL,NULL
329,1.5262000,NULL,"2006-12-31","0091-6765",NULL,NULL,NULL,NULL,NULL
330,0.5024900,NULL,"2006-12-31","0360-5442",NULL,NULL,NULL,NULL,NULL
331,0.0163630,NULL,"2006-12-31","0160-9327",NULL,NULL,NULL,NULL,NULL
332,2.2245000,NULL,"2006-12-31","1080-6059",NULL,NULL,NULL,NULL,NULL
333,0.6778200,NULL,"2006-12-31","1068-9613",NULL,NULL,NULL,NULL,NULL
334,0.7116700,NULL,"2006-12-31","1079-6762",NULL,NULL,NULL,NULL,NULL
335,2.3490000,NULL,"2006-12-31","1083-6489",NULL,NULL,NULL,NULL,NULL
336,0.9624100,NULL,"2006-12-31","1081-3810",NULL,NULL,NULL,NULL,NULL
337,1.4851000,NULL,"2006-12-31","1077-8926",NULL,NULL,NULL,NULL,NULL
338,0.1773800,NULL,"2006-12-31","0717-3458",NULL,NULL,NULL,NULL,NULL
339,1.8141000,NULL,"2006-12-31","1083-589X",NULL,NULL,NULL,NULL,NULL
340,0.8316800,NULL,"2006-12-31","1708-3087",NULL,NULL,NULL,NULL,NULL
341,0.2538700,NULL,"2006-12-31","1618-7229",NULL,NULL,NULL,NULL,NULL
342,0.0754250,NULL,"2006-12-31","0011-5029",NULL,NULL,NULL,NULL,NULL
343,0.2401200,NULL,"2006-12-31","0141-9382",NULL,NULL,NULL,NULL,NULL
344,1.8523000,NULL,"2006-12-31","1365-8050",NULL,NULL,NULL,NULL,NULL
345,1.6494000,NULL,"2006-12-31","0301-4681",NULL,NULL,NULL,NULL,NULL
346,0.3551600,NULL,"2006-12-31","0011-9164",NULL,NULL,NULL,NULL,NULL
347,0.2590000,NULL,"2006-12-31","1212-1800",NULL,NULL,NULL,NULL,NULL
348,0.0710310,NULL,"2006-12-31","1212-1819",NULL,NULL,NULL,NULL,NULL
349,0.3495900,NULL,"2006-12-31","1465-3249",NULL,NULL,NULL,NULL,NULL
350,0.6635500,NULL,"2006-12-31","1043-4666",NULL,NULL,NULL,NULL,NULL
351,1.4276000,NULL,"2006-12-31","1467-3037",NULL,NULL,NULL,NULL,NULL
352,0.2870700,NULL,"2006-12-31","0011-2275",NULL,NULL,NULL,NULL,NULL
353,0.5700800,NULL,"2006-12-31","0011-2240",NULL,NULL,NULL,NULL,NULL
354,1.2485000,NULL,"2006-12-31","0010-9452",NULL,NULL,NULL,NULL,NULL
355,0.4988700,NULL,"2006-12-31","0010-7824",NULL,NULL,NULL,NULL,NULL
356,0.3404900,NULL,"2006-12-31","0146-4833",NULL,NULL,NULL,NULL,NULL
357,0.2798700,NULL,"2006-12-31","0147-958X",NULL,NULL,NULL,NULL,NULL
358,0.1498100,NULL,"2006-12-31","0185-3880",NULL,NULL,NULL,NULL,NULL
359,1.2089000,NULL,"2006-12-31","0012-3692",NULL,NULL,NULL,NULL,NULL
360,0.8678800,NULL,"2006-12-31","0045-6535",NULL,NULL,NULL,NULL,NULL
361,0.3274200,NULL,"2006-12-31","0360-7275",NULL,NULL,NULL,NULL,NULL
362,0.1319900,NULL,"2006-12-31","0352-9568",NULL,NULL,NULL,NULL,NULL
363,17.0370000,NULL,"2006-12-31","0092-8674",NULL,NULL,NULL,NULL,NULL
364,0.6727800,NULL,"2006-12-31","0341-8162",NULL,NULL,NULL,NULL,NULL
365,1.4483000,NULL,"2006-12-31","0008-6223",NULL,NULL,NULL,NULL,NULL
366,0.9694800,NULL,"2006-12-31","0364-5916",NULL,NULL,NULL,NULL,NULL
367,0.2510800,NULL,"2006-12-31","0305-4179",NULL,NULL,NULL,NULL,NULL
368,1.1343000,NULL,"2006-12-31","1465-5411",NULL,NULL,NULL,NULL,NULL
369,0.1781100,NULL,"2006-12-31","0103-9733",NULL,NULL,NULL,NULL,NULL
370,1.4819000,NULL,"2006-12-31","8756-3282",NULL,NULL,NULL,NULL,NULL
371,0.4268200,NULL,"2006-12-31","1471-2458",NULL,NULL,NULL,NULL,NULL
372,1.2687000,NULL,"2006-12-31","1471-2202",NULL,NULL,NULL,NULL,NULL
373,0.3443800,NULL,"2006-12-31","1471-2474",NULL,NULL,NULL,NULL,NULL
374,1.0645000,NULL,"2006-12-31","1471-2199",NULL,NULL,NULL,NULL,NULL
375,1.1360000,NULL,"2006-12-31","1471-2180",NULL,NULL,NULL,NULL,NULL
376,0.4394300,NULL,"2006-12-31","1471-2334",NULL,NULL,NULL,NULL,NULL
377,1.0238000,NULL,"2006-12-31","1471-2172",NULL,NULL,NULL,NULL,NULL
378,0.2934100,NULL,"2006-12-31","1472-6963",NULL,NULL,NULL,NULL,NULL
379,1.3862000,NULL,"2006-12-31","1471-2164",NULL,NULL,NULL,NULL,NULL
380,0.5539000,NULL,"2006-12-31","1471-2156",NULL,NULL,NULL,NULL,NULL
381,0.3734600,NULL,"2006-12-31","1471-230X",NULL,NULL,NULL,NULL,NULL
382,2.2198000,NULL,"2006-12-31","1471-2148",NULL,NULL,NULL,NULL,NULL
383,2.3353000,NULL,"2006-12-31","1471-213X",NULL,NULL,NULL,NULL,NULL
384,0.9822200,NULL,"2006-12-31","1471-2121",NULL,NULL,NULL,NULL,NULL
385,0.5769000,NULL,"2006-12-31","1471-2407",NULL,NULL,NULL,NULL,NULL
386,1.1622000,NULL,"2006-12-31","1472-6750",NULL,NULL,NULL,NULL,NULL
387,1.5883000,NULL,"2006-12-31","1471-2105",NULL,NULL,NULL,NULL,NULL
388,0.2645900,NULL,"2006-12-31","0303-2647",NULL,NULL,NULL,NULL,NULL
389,1.3954000,NULL,"2006-12-31","0142-9612",NULL,NULL,NULL,NULL,NULL
390,0.2397400,NULL,"2006-12-31","1045-1056",NULL,NULL,NULL,NULL,NULL
391,0.6001900,NULL,"2006-12-31","1567-5394",NULL,NULL,NULL,NULL,NULL
392,1.2924000,NULL,"2006-12-31","0300-9084",NULL,NULL,NULL,NULL,NULL
393,0.0864880,NULL,"2006-12-31","1860-5397",NULL,NULL,NULL,NULL,NULL
394,1.8163000,NULL,"2006-12-31","0042-9686",NULL,NULL,NULL,NULL,NULL
395,1.0966000,NULL,"2006-12-31","0003-0090",NULL,NULL,NULL,NULL,NULL
396,1.5189000,NULL,"2006-12-31","0005-1098",NULL,NULL,NULL,NULL,NULL
397,0.2099800,NULL,"2006-12-31","0187-6236",NULL,NULL,NULL,NULL,NULL
398,1.2098000,NULL,"2006-12-31","0021-9150",NULL,NULL,NULL,NULL,NULL
399,1.2861000,NULL,"2006-12-31","1478-6362",NULL,NULL,NULL,NULL,NULL
400,0.0925270,NULL,"2006-12-31","1733-3490",NULL,NULL,NULL,NULL,NULL
401,0.6588200,NULL,"2006-12-31","0373-2029",NULL,NULL,NULL,NULL,NULL
402,0.6786000,NULL,"2006-12-31","1432-0665",NULL,NULL,NULL,NULL,NULL
403,0.5903400,NULL,"2006-12-31","0044-8486",NULL,NULL,NULL,NULL,NULL
404,0.5064300,NULL,"2006-12-31","0195-6663",NULL,NULL,NULL,NULL,NULL
405,0.2715700,NULL,"2006-12-31","0918-7960",NULL,NULL,NULL,NULL,NULL
406,0.0185150,NULL,"2006-12-31","0256-4947",NULL,NULL,NULL,NULL,NULL
407,0.7550300,NULL,"2006-12-31","1239-629X",NULL,NULL,NULL,NULL,NULL
408,0.1212700,NULL,"2006-12-31","0304-4602",NULL,NULL,NULL,NULL,NULL
409,0.2448500,NULL,"2006-12-31","1075-9964",NULL,NULL,NULL,NULL,NULL
410,0.4498100,NULL,"2006-12-31","0741-8329",NULL,NULL,NULL,NULL,NULL
411,0.0592020,NULL,"2006-12-31","1405-3195",NULL,NULL,NULL,NULL,NULL
412,0.0303110,NULL,"2006-12-31","1217-8837",NULL,NULL,NULL,NULL,NULL
413,0.1964100,NULL,"2006-12-31","0065-1400",NULL,NULL,NULL,NULL,NULL
414,0.0913960,NULL,"2006-12-31","0386-300X",NULL,NULL,NULL,NULL,NULL
415,0.0744960,NULL,"2006-12-31","1600-5368",NULL,NULL,NULL,NULL,NULL
416,0.3322300,NULL,"2006-12-31","0001-527X",NULL,NULL,NULL,NULL,NULL
417,0.4157000,NULL,"2006-12-31","1530-9932",NULL,NULL,NULL,NULL,NULL
418,0.2829300,NULL,"2006-12-31","1550-7416",NULL,NULL,NULL,NULL,NULL
419,0.1310300,NULL,"2005-12-31","0043-0617",NULL,NULL,NULL,NULL,NULL
420,0.4205500,NULL,"2005-12-31","0038-3910",NULL,NULL,NULL,NULL,NULL
421,0.0314580,NULL,"2005-12-31","0185-3325",NULL,NULL,NULL,NULL,NULL
422,0.3100300,NULL,"2005-12-31","0033-2879",NULL,NULL,NULL,NULL,NULL
423,0.8371000,NULL,"2005-12-31","0029-3571",NULL,NULL,NULL,NULL,NULL
424,0.1443300,NULL,"2005-12-31","0024-3841",NULL,NULL,NULL,NULL,NULL
425,0.8573600,NULL,"2005-12-31","1094-3501",NULL,NULL,NULL,NULL,NULL
426,0.5906900,NULL,"2005-12-31","1460-7425",NULL,NULL,NULL,NULL,NULL
427,1.1977000,NULL,"2005-12-31","0160-2896",NULL,NULL,NULL,NULL,NULL
428,0.4356000,NULL,"2005-12-31","1368-1613",NULL,NULL,NULL,NULL,NULL
429,0.2276900,NULL,"2005-12-31","0017-8322",NULL,NULL,NULL,NULL,NULL
430,0.4916200,NULL,"2005-12-31","0017-808X",NULL,NULL,NULL,NULL,NULL
431,0.7856100,NULL,"2005-12-31","0016-8092",NULL,NULL,NULL,NULL,NULL
432,0.2762200,NULL,"2005-12-31","0016-8076",NULL,NULL,NULL,NULL,NULL
433,0.7704500,NULL,"2005-12-31","0016-7185",NULL,NULL,NULL,NULL,NULL
434,0.0957740,NULL,"2005-12-31","0016-3287",NULL,NULL,NULL,NULL,NULL
435,0.1879900,NULL,"2005-12-31","0015-704X",NULL,NULL,NULL,NULL,NULL
436,0.0961620,NULL,"2005-12-31","0015-1920",NULL,NULL,NULL,NULL,NULL
437,0.0474790,NULL,"2005-12-31","0213-6163",NULL,NULL,NULL,NULL,NULL
438,0.3501900,NULL,"2005-12-31","1436-4522",NULL,NULL,NULL,NULL,NULL
439,0.1305800,NULL,"2005-12-31","0046-1121",NULL,NULL,NULL,NULL,NULL
440,2.9258000,NULL,"2005-12-31","0010-0277",NULL,NULL,NULL,NULL,NULL
441,0.2375400,NULL,"2005-12-31","0264-2751",NULL,NULL,NULL,NULL,NULL
442,0.3281600,NULL,"2005-12-31","0023-9356",NULL,NULL,NULL,NULL,NULL
443,0.0632590,NULL,"2005-12-31","0003-5521",NULL,NULL,NULL,NULL,NULL
444,0.3264800,NULL,"2005-12-31","1280-9551",NULL,NULL,NULL,NULL,NULL
